(B) Sort...
/bin/rm: No match.
===> w1data/f0
4,170c4,7
< | Fri Apr  4 2008 | Royalty check            |      5,708.33  |      5,708.33  |
< | Tue May 16 2017 | Gasoline                 | (    5,001.75) | (   48,476.06) |
< | Sat Jun  3 2017 | Gas company              | (    5,132.05) | (   53,608.11) |
< | Sun Jul 30 2017 | Paycheck                 |      1,178.55  | (   52,429.56) |
< | Mon Aug  7 2017 | Bonus                    |      2,054.16  | (   50,375.40) |
< | Mon Sep 11 2017 | Rent                     | (    6,073.64) | (   56,449.04) |
< | Mon Sep 11 2017 | Interest                 |      5,335.79  | (   51,113.25) |
< | Tue Oct 31 2017 | Paycheck                 |      2,153.08  | (   48,960.17) |
< | Mon Nov 20 2017 | Gas company              | (    3,100.80) | (   52,060.97) |
< | Fri Dec 29 2017 | Department of water & po | (    4,313.62) | (   56,374.59) |
< | Sun Jan  7 2018 | Rent                     | (    6,191.37) | (   62,565.96) |
< | Tue Jan  9 2018 | Royalty check            |      4,163.74  | (   58,402.22) |
< | Sat Mar 10 2018 | Department of water & po | (       96.73) | (   58,498.95) |
< | Fri Apr 27 2018 | Paycheck                 |        247.75  | (   58,251.20) |
< | Sun May 13 2018 | Cable TV                 | (    4,046.72) | (   62,297.92) |
< | Mon May 21 2018 | Cable TV                 | (    1,181.49) | (   63,479.41) |
< | Tue Jun  5 2018 | Department of water & po | (    5,177.56) | (   68,656.97) |
< | Tue Jun 12 2018 | Royalty check            |      4,037.26  | (   64,619.71) |
< | Sun Jun 24 2018 | Department of water & po | (    2,460.92) | (   67,080.63) |
< | Sun Jul 22 2018 | Paycheck                 |      5,596.50  | (   61,484.13) |
< | Wed Aug  8 2018 | Gas company              | (    4,709.77) | (   66,193.90) |
< | Wed Aug  8 2018 | Cable TV                 | (    2,759.01) | (   68,952.91) |
< | Sun Aug 12 2018 | Interest                 |        629.14  | (   68,323.77) |
< | Mon Aug 27 2018 | Royalty check            |      6,105.23  | (   62,218.54) |
< | Fri Sep 28 2018 | Phone bill               | (    3,844.07) | (   66,062.61) |
< | Sat Sep 29 2018 | Rent                     | (    2,581.44) | (   68,644.05) |
< | Sat Nov 24 2018 | Grocery                  | (    3,962.94) | (   72,606.99) |
< | Sat Dec  8 2018 | Gasoline                 | (    3,626.30) | (   76,233.29) |
< | Thu Jan 17 2019 | Royalty check            |      3,303.97  | (   72,929.32) |
< | Sun Feb 17 2019 | Phone bill               | (    2,264.98) | (   75,194.30) |
< | Wed Mar 20 2019 | Grocery                  | (    4,349.44) | (   79,543.74) |
< | Mon Apr  8 2019 | Paycheck                 |      6,178.70  | (   73,365.04) |
< | Mon Apr 15 2019 | Royalty check            |      2,868.95  | (   70,496.09) |
< | Sun May  5 2019 | Department of water & po | (    5,030.70) | (   75,526.79) |
---
> | Thu Aug 21 2008 | Initial deposit          |      1,723.00  |      1,723.00  |
> | Wed Dec 31 2008 | Phone bill               | (       45.33) |      1,677.67  |
> | Mon Jul 13 2009 | Dear parents             |     10,388.07  |     12,065.74  |
> | Sun Jan 10 2010 | Beemer monthly payment - | (      654.32) |     11,411.42  |
===> w1data/f17
4,68c4,7
< | Mon Aug  4 2008 | Cable TV                 | (    6,323.12) | (    6,323.12) |
< | Fri Oct 24 2008 | Royalty check            |      4,617.60  | (    1,705.52) |
< | Tue May  5 2009 | Interest                 |      5,187.81  |      3,482.29  |
< | Fri May 22 2009 | Phone bill               | (    4,419.17) | (      936.88) |
< | Sun Jul 12 2009 | Royalty check            |      6,528.08  |      5,591.20  |
< | Sat Aug 22 2009 | Bonus                    |      2,412.90  |      8,004.10  |
< | Sun Sep 13 2009 | Bonus                    |      3,681.53  |     11,685.63  |
< | Wed Oct 28 2009 | Phone bill               | (    5,924.07) |      5,761.56  |
< | Thu Dec  3 2009 | Department of water & po | (    5,266.53) |        495.03  |
< | Sun Dec  6 2009 | Interest                 |      5,110.08  |      5,605.11  |
< | Wed Dec 23 2009 | Interest                 |      2,089.36  |      7,694.47  |
< | Sat Jan  9 2010 | Bonus                    |      1,201.61  |      8,896.08  |
< | Sun Jan 10 2010 | Interest                 |      3,715.76  |     12,611.84  |
< | Wed Jan 27 2010 | Royalty check            |      5,935.79  |     18,547.63  |
< | Thu Jan 28 2010 | Grocery                  | (    2,575.93) |     15,971.70  |
< | Fri Feb 12 2010 | Gas company              | (    1,506.09) |     14,465.61  |
< | Sat Mar 20 2010 | Rent                     | (    2,437.21) |     12,028.40  |
< | Sun Jun 20 2010 | Interest                 |      1,839.68  |     13,868.08  |
< | Wed Aug 18 2010 | Cable TV                 | (    2,665.89) |     11,202.19  |
< | Thu Sep  2 2010 | Grocery                  | (    4,193.46) |      7,008.73  |
< | Thu Nov 18 2010 | Department of water & po | (    2,809.17) |      4,199.56  |
< | Sat May 21 2011 | Gasoline                 | (    6,084.00) | (    1,884.44) |
< | Tue Sep  6 2011 | Grocery                  | (    2,598.78) | (    4,483.22) |
< | Tue Sep 27 2011 | Royalty check            |      5,096.31  |        613.09  |
< | Thu Nov 17 2011 | Royalty check            |      1,699.84  |      2,312.93  |
< | Sun Jan  1 2012 | Paycheck                 |      5,789.62  |      8,102.55  |
< | Sun Feb 26 2012 | Bonus                    |      2,143.43  |     10,245.98  |
< | Fri Jul 13 2012 | Rent                     | (      937.94) |      9,308.04  |
< | Thu Sep 20 2012 | Rent                     | (    5,028.38) |      4,279.66  |
< | Fri Feb  8 2013 | Gasoline                 | (      492.62) |      3,787.04  |
< | Sun Feb 17 2013 | Grocery                  | (    4,891.42) | (    1,104.38) |
< | Thu Feb 28 2013 | Royalty check            |      6,149.22  |      5,044.84  |
< | Mon Mar 11 2013 | Phone bill               | (    1,992.04) |      3,052.80  |
< | Wed Apr 10 2013 | Gas company              | (    6,123.93) | (    3,071.13) |
< | Fri Apr 12 2013 | Paycheck                 |      6,284.59  |      3,213.46  |
< | Thu May 16 2013 | Department of water & po | (    6,130.94) | (    2,917.48) |
< | Sun Jun 23 2013 | Paycheck                 |      4,752.31  |      1,834.83  |
< | Thu Jul 11 2013 | Cable TV                 | (    5,831.42) | (    3,996.59) |
< | Mon Sep  2 2013 | Gas company              | (    3,895.30) | (    7,891.89) |
< | Tue Sep  3 2013 | Paycheck                 |        357.69  | (    7,534.20) |
< | Sun May 11 2014 | Department of water & po | (    3,045.05) | (   10,579.25) |
< | Mon Feb  2 2015 | Rent                     | (    3,144.09) | (   13,723.34) |
< | Wed Sep  2 2015 | Department of water & po | (    3,012.29) | (   16,735.63) |
< | Wed Oct  7 2015 | Paycheck                 |      2,812.59  | (   13,923.04) |
< | Sun Oct 11 2015 | Paycheck                 |      6,248.01  | (    7,675.03) |
< | Tue Oct 13 2015 | Royalty check            |      5,759.19  | (    1,915.84) |
< | Thu Nov  5 2015 | Interest                 |      4,858.66  |      2,942.82  |
< | Sat Mar 19 2016 | Gasoline                 | (    4,666.54) | (    1,723.72) |
< | Sun Mar 20 2016 | Gasoline                 | (    3,114.43) | (    4,838.15) |
< | Wed Apr 27 2016 | Royalty check            |      4,931.34  |         93.19  |
< | Fri May  6 2016 | Paycheck                 |      6,455.65  |      6,548.84  |
< | Mon May  9 2016 | Royalty check            |        637.41  |      7,186.25  |
< | Tue May 10 2016 | Interest                 |      1,731.37  |      8,917.62  |
< | Wed Jun  8 2016 | Rent                     | (    1,406.54) |      7,511.08  |
< | Fri Jul 22 2016 | Interest                 |        101.63  |      7,612.71  |
< | Mon Jul 25 2016 | Royalty check            |        762.71  |      8,375.42  |
< | Sun Oct 30 2016 | Bonus                    |      5,451.53  |     13,826.95  |
< | Wed Jul  5 2017 | Bonus                    |      1,800.59  |     15,627.54  |
< | Fri Sep 15 2017 | Paycheck                 |      6,356.91  |     21,984.45  |
< | Tue Nov 28 2017 | Department of water & po | (    2,316.81) |     19,667.64  |
< | Thu Nov 30 2017 | Paycheck                 |      3,811.31  |     23,478.95  |
< | Wed Mar  7 2018 | Grocery                  | (    1,916.89) |     21,562.06  |
< | Sun Mar 11 2018 | Paycheck                 |      5,426.05  |     26,988.11  |
< | Wed Nov 14 2018 | Interest                 |      5,849.53  |     32,837.64  |
< | Wed May 15 2019 | Paycheck                 |      3,150.76  |     35,988.40  |
---
> | Thu Aug 21 2008 | Initial deposit          |      1,723.00  |      1,723.00  |
> | Wed Dec 31 2008 | Phone bill               | (       45.33) |      1,677.67  |
> | Mon Jul 13 2009 | Dear parents             |     10,388.07  |     12,065.74  |
> | Sun Jan 10 2010 | Beemer monthly payment - | (      654.32) |     11,411.42  |
===> w1data/f18
4,160c4,7
< | Tue Jan 22 2008 | Paycheck                 |      1,332.57  |      1,332.57  |
< | Thu Jan 24 2008 | Phone bill               | (    6,117.77) | (    4,785.20) |
< | Tue Jan 29 2008 | Department of water & po | (    4,850.90) | (    9,636.10) |
< | Fri Feb 15 2008 | Cable TV                 | (    3,630.71) | (   13,266.81) |
< | Sat Feb 16 2008 | Rent                     | (    2,171.96) | (   15,438.77) |
< | Wed Feb 20 2008 | Rent                     | (    3,485.63) | (   18,924.40) |
< | Wed Feb 20 2008 | Paycheck                 |      3,634.83  | (   15,289.57) |
< | Wed Feb 27 2008 | Rent                     | (    5,414.99) | (   20,704.56) |
< | Thu Mar 27 2008 | Interest                 |      2,419.34  | (   18,285.22) |
< | Thu Jun  5 2008 | Royalty check            |      2,773.16  | (   15,512.06) |
< | Tue Jul  1 2008 | Bonus                    |      6,237.79  | (    9,274.27) |
< | Wed Aug  6 2008 | Interest                 |      4,283.69  | (    4,990.58) |
< | Sun Sep 21 2008 | Rent                     | (    2,640.97) | (    7,631.55) |
< | Sat Sep 27 2008 | Rent                     | (    3,181.67) | (   10,813.22) |
< | Mon Oct 27 2008 | Gas company              | (    5,726.43) | (   16,539.65) |
< | Fri Nov  7 2008 | Gas company              | (    6,078.25) | (   22,617.90) |
< | Sun Jan 25 2009 | Gasoline                 | (    3,185.98) | (   25,803.88) |
< | Sun Feb  8 2009 | Phone bill               | (    1,585.75) | (   27,389.63) |
< | Thu Mar  5 2009 | Department of water & po | (    1,664.73) | (   29,054.36) |
< | Thu Mar  5 2009 | Interest                 |      4,856.05  | (   24,198.31) |
< | Fri Mar 27 2009 | Gas company              | (    2,432.30) | (   26,630.61) |
< | Thu Apr  9 2009 | Bonus                    |      4,345.20  | (   22,285.41) |
< | Thu Jun 18 2009 | Grocery                  | (    1,375.29) | (   23,660.70) |
< | Sun Jul 12 2009 | Interest                 |        767.26  | (   22,893.44) |
< | Tue Aug 11 2009 | Royalty check            |      4,038.84  | (   18,854.60) |
< | Sat Aug 15 2009 | Rent                     | (    1,263.12) | (   20,117.72) |
< | Tue Sep 22 2009 | Paycheck                 |      1,011.31  | (   19,106.41) |
< | Sat Sep 26 2009 | Royalty check            |      5,361.59  | (   13,744.82) |
< | Fri Oct  9 2009 | Department of water & po | (    5,283.93) | (   19,028.75) |
< | Mon Dec 14 2009 | Phone bill               | (    5,005.59) | (   24,034.34) |
< | Fri Jan  1 2010 | Paycheck                 |      2,503.81  | (   21,530.53) |
< | Sat Feb  6 2010 | Bonus                    |      6,482.19  | (   15,048.34) |
< | Tue Mar 30 2010 | Rent                     | (    2,189.27) | (   17,237.61) |
< | Thu Apr  1 2010 | Grocery                  | (    2,225.33) | (   19,462.94) |
< | Sun Apr  4 2010 | Cable TV                 | (      443.33) | (   19,906.27) |
< | Fri Apr  9 2010 | Gas company              | (      215.73) | (   20,122.00) |
< | Thu Apr 29 2010 | Paycheck                 |      5,700.21  | (   14,421.79) |
< | Fri Jul  9 2010 | Bonus                    |      3,433.57  | (   10,988.22) |
< | Thu Jul 22 2010 | Gasoline                 | (    4,553.54) | (   15,541.76) |
< | Fri Jul 23 2010 | Department of water & po | (    1,557.62) | (   17,099.38) |
< | Tue Aug  3 2010 | Bonus                    |      1,479.09  | (   15,620.29) |
< | Fri Aug 13 2010 | Gasoline                 | (      329.90) | (   15,950.19) |
< | Thu Oct 14 2010 | Gas company              | (    2,468.78) | (   18,418.97) |
< | Thu Oct 21 2010 | Grocery                  | (    2,688.54) | (   21,107.51) |
< | Thu Dec 16 2010 | Grocery                  | (    5,757.25) | (   26,864.76) |
< | Wed Feb  2 2011 | Royalty check            |      5,794.85  | (   21,069.91) |
< | Wed Feb  2 2011 | Royalty check            |        977.11  | (   20,092.80) |
< | Mon Feb 28 2011 | Paycheck                 |        397.26  | (   19,695.54) |
< | Tue Mar 15 2011 | Rent                     | (      639.98) | (   20,335.52) |
< | Mon Apr  4 2011 | Interest                 |      4,470.09  | (   15,865.43) |
< | Tue Apr 12 2011 | Phone bill               | (    3,497.94) | (   19,363.37) |
< | Wed Apr 20 2011 | Bonus                    |      4,554.49  | (   14,808.88) |
< | Fri Apr 29 2011 | Gasoline                 | (      868.87) | (   15,677.75) |
< | Sun May  1 2011 | Department of water & po | (    5,465.83) | (   21,143.58) |
< | Wed May 18 2011 | Phone bill               | (    1,806.53) | (   22,950.11) |
< | Wed Oct 12 2011 | Interest                 |      4,387.85  | (   18,562.26) |
< | Sat Oct 29 2011 | Rent                     | (    4,285.51) | (   22,847.77) |
< | Tue Nov  1 2011 | Cable TV                 | (    4,973.39) | (   27,821.16) |
< | Sat Nov  5 2011 | Paycheck                 |      4,209.20  | (   23,611.96) |
< | Wed Nov  9 2011 | Bonus                    |      1,635.37  | (   21,976.59) |
< | Sat Nov 19 2011 | Gas company              | (    4,375.31) | (   26,351.90) |
< | Fri Jan 27 2012 | Interest                 |      5,204.08  | (   21,147.82) |
< | Thu Feb 16 2012 | Bonus                    |        369.62  | (   20,778.20) |
< | Thu Mar  1 2012 | Department of water & po | (    1,840.64) | (   22,618.84) |
< | Fri Jul  6 2012 | Grocery                  | (    5,783.98) | (   28,402.82) |
< | Sun Jul 22 2012 | Cable TV                 | (    3,248.09) | (   31,650.91) |
< | Sat Oct 13 2012 | Interest                 |      1,083.24  | (   30,567.67) |
< | Fri Oct 19 2012 | Royalty check            |      5,988.89  | (   24,578.78) |
< | Wed Nov 14 2012 | Paycheck                 |      2,220.54  | (   22,358.24) |
< | Tue Dec 18 2012 | Royalty check            |      4,142.94  | (   18,215.30) |
< | Sat Mar 30 2013 | Gasoline                 | (    3,100.88) | (   21,316.18) |
< | Sat Apr 13 2013 | Bonus                    |      3,491.33  | (   17,824.85) |
< | Sat Apr 27 2013 | Royalty check            |      6,167.59  | (   11,657.26) |
< | Sat May 11 2013 | Royalty check            |      2,199.14  | (    9,458.12) |
< | Sun May 19 2013 | Bonus                    |      2,876.55  | (    6,581.57) |
< | Thu May 30 2013 | Department of water & po | (      112.28) | (    6,693.85) |
< | Sat Jun 15 2013 | Rent                     | (    6,211.32) | (   12,905.17) |
< | Sun Jun 16 2013 | Phone bill               | (    6,222.48) | (   19,127.65) |
< | Wed Aug 28 2013 | Bonus                    |      3,248.75  | (   15,878.90) |
< | Thu Nov 21 2013 | Grocery                  | (    5,590.57) | (   21,469.47) |
< | Sat Nov 30 2013 | Phone bill               | (      301.32) | (   21,770.79) |
< | Sat Dec  7 2013 | Gas company              | (    1,064.32) | (   22,835.11) |
< | Sat Dec 28 2013 | Interest                 |        874.94  | (   21,960.17) |
< | Fri Jan 31 2014 | Royalty check            |        489.58  | (   21,470.59) |
< | Tue Feb  4 2014 | Paycheck                 |      1,941.66  | (   19,528.93) |
< | Thu Mar  6 2014 | Gasoline                 | (    6,468.26) | (   25,997.19) |
< | Tue Apr  8 2014 | Bonus                    |      6,334.72  | (   19,662.47) |
< | Sun Apr 20 2014 | Gas company              | (    1,003.82) | (   20,666.29) |
< | Wed Apr 30 2014 | Gasoline                 | (    3,727.18) | (   24,393.47) |
< | Sun Jul 13 2014 | Paycheck                 |        572.82  | (   23,820.65) |
< | Fri Aug  8 2014 | Gasoline                 | (    1,104.16) | (   24,924.81) |
< | Sun Aug 10 2014 | Phone bill               | (      372.97) | (   25,297.78) |
< | Fri Oct 17 2014 | Gas company              | (      605.10) | (   25,902.88) |
< | Mon Dec  8 2014 | Gasoline                 | (    3,427.61) | (   29,330.49) |
< | Mon Jan 26 2015 | Grocery                  | (    4,919.95) | (   34,250.44) |
< | Thu Feb 12 2015 | Bonus                    |      5,921.09  | (   28,329.35) |
< | Sat Feb 21 2015 | Bonus                    |      6,220.09  | (   22,109.26) |
< | Thu Feb 26 2015 | Interest                 |      2,051.63  | (   20,057.63) |
< | Mon Mar  2 2015 | Interest                 |      1,592.59  | (   18,465.04) |
< | Sat Mar 14 2015 | Interest                 |        801.54  | (   17,663.50) |
< | Tue Apr 14 2015 | Interest                 |      1,413.86  | (   16,249.64) |
< | Mon Apr 20 2015 | Rent                     | (    4,135.71) | (   20,385.35) |
< | Sat May 16 2015 | Royalty check            |      2,019.90  | (   18,365.45) |
< | Thu Jun 11 2015 | Gasoline                 | (    5,288.61) | (   23,654.06) |
< | Fri Jun 12 2015 | Department of water & po | (    2,407.98) | (   26,062.04) |
< | Thu Jul 16 2015 | Cable TV                 | (    2,141.88) | (   28,203.92) |
< | Fri Jul 31 2015 | Bonus                    |      1,184.36  | (   27,019.56) |
< | Mon Aug 17 2015 | Paycheck                 |      1,588.88  | (   25,430.68) |
< | Sun Oct  4 2015 | Interest                 |      1,037.71  | (   24,392.97) |
< | Wed Oct 28 2015 | Interest                 |        185.42  | (   24,207.55) |
< | Sat Nov 21 2015 | Grocery                  | (    3,000.37) | (   27,207.92) |
< | Sun Dec 13 2015 | Paycheck                 |      3,823.12  | (   23,384.80) |
< | Sat Dec 19 2015 | Rent                     | (    3,712.05) | (   27,096.85) |
< | Wed Dec 30 2015 | Gas company              | (    5,312.83) | (   32,409.68) |
< | Fri Jan 15 2016 | Phone bill               | (    2,269.59) | (   34,679.27) |
< | Wed Apr  6 2016 | Grocery                  | (      197.49) | (   34,876.76) |
< | Tue May 17 2016 | Gasoline                 | (    4,161.38) | (   39,038.14) |
< | Sun Jun 12 2016 | Interest                 |      3,065.06  | (   35,973.08) |
< | Thu Jul 14 2016 | Phone bill               | (    1,529.51) | (   37,502.59) |
< | Sun Aug  7 2016 | Grocery                  | (    5,850.86) | (   43,353.45) |
< | Tue Aug 23 2016 | Bonus                    |      3,808.35  | (   39,545.10) |
< | Wed Aug 31 2016 | Gasoline                 | (    3,841.53) | (   43,386.63) |
< | Fri Oct 14 2016 | Royalty check            |      6,096.02  | (   37,290.61) |
< | Tue Nov 22 2016 | Royalty check            |      6,311.11  | (   30,979.50) |
< | Sat Nov 26 2016 | Royalty check            |      5,062.53  | (   25,916.97) |
< | Wed Jan 11 2017 | Bonus                    |        548.14  | (   25,368.83) |
< | Wed Feb  1 2017 | Department of water & po | (    6,000.22) | (   31,369.05) |
< | Sat Mar 11 2017 | Interest                 |      2,887.65  | (   28,481.40) |
< | Thu May 18 2017 | Royalty check            |      2,375.16  | (   26,106.24) |
< | Tue Jun  6 2017 | Bonus                    |      4,077.26  | (   22,028.98) |
< | Sun Jul 23 2017 | Gasoline                 | (    2,125.92) | (   24,154.90) |
< | Tue Jul 25 2017 | Royalty check            |      4,505.51  | (   19,649.39) |
< | Wed Aug  9 2017 | Interest                 |        173.46  | (   19,475.93) |
< | Fri Sep 29 2017 | Gas company              | (    3,495.34) | (   22,971.27) |
< | Wed Oct 18 2017 | Royalty check            |      1,001.77  | (   21,969.50) |
< | Mon Oct 23 2017 | Cable TV                 | (    1,420.84) | (   23,390.34) |
< | Sat Dec 30 2017 | Phone bill               | (    4,877.50) | (   28,267.84) |
< | Tue Jan 16 2018 | Gasoline                 | (    4,593.94) | (   32,861.78) |
< | Tue Feb 13 2018 | Gas company              | (      317.51) | (   33,179.29) |
< | Wed Feb 21 2018 | Cable TV                 | (    4,468.48) | (   37,647.77) |
< | Sat Apr 21 2018 | Grocery                  | (    3,522.06) | (   41,169.83) |
< | Wed May  9 2018 | Phone bill               | (    1,252.04) | (   42,421.87) |
< | Fri May 18 2018 | Rent                     | (      185.23) | (   42,607.10) |
< | Sat May 19 2018 | Bonus                    |      6,209.46  | (   36,397.64) |
< | Sun May 20 2018 | Interest                 |      2,347.04  | (   34,050.60) |
< | Tue Aug  7 2018 | Bonus                    |        112.10  | (   33,938.50) |
< | Sun Oct  7 2018 | Interest                 |      2,043.11  | (   31,895.39) |
< | Sun Nov 25 2018 | Phone bill               | (      942.87) | (   32,838.26) |
< | Sat Dec  8 2018 | Grocery                  | (    6,133.97) | (   38,972.23) |
< | Sun Dec  9 2018 | Royalty check            |      5,766.08  | (   33,206.15) |
< | Sun Dec 23 2018 | Gas company              | (    2,175.31) | (   35,381.46) |
< | Tue Feb 12 2019 | Interest                 |      3,834.04  | (   31,547.42) |
< | Fri Apr  5 2019 | Interest                 |      6,235.02  | (   25,312.40) |
< | Tue Apr 16 2019 | Interest                 |      3,100.81  | (   22,211.59) |
< | Sat Apr 20 2019 | Paycheck                 |         27.87  | (   22,183.72) |
< | Thu May  2 2019 | Gas company              | (    5,627.91) | (   27,811.63) |
< | Mon May  6 2019 | Rent                     | (    2,469.07) | (   30,280.70) |
---
> | Thu Aug 21 2008 | Initial deposit          |      1,723.00  |      1,723.00  |
> | Wed Dec 31 2008 | Phone bill               | (       45.33) |      1,677.67  |
> | Mon Jul 13 2009 | Dear parents             |     10,388.07  |     12,065.74  |
> | Sun Jan 10 2010 | Beemer monthly payment - | (      654.32) |     11,411.42  |
===> w1data/f19
4,196c4,7
< | Thu Jan 17 2008 | Cable TV                 | (    1,349.11) | (    1,349.11) |
< | Wed Feb 27 2008 | Interest                 |        596.30  | (      752.81) |
< | Thu Feb 28 2008 | Gasoline                 | (    5,514.83) | (    6,267.64) |
< | Wed Mar 12 2008 | Cable TV                 | (    3,969.17) | (   10,236.81) |
< | Mon Mar 31 2008 | Department of water & po | (    1,823.44) | (   12,060.25) |
< | Sun May  4 2008 | Royalty check            |      5,444.73  | (    6,615.52) |
< | Sun May 25 2008 | Cable TV                 | (    6,025.01) | (   12,640.53) |
< | Tue May 27 2008 | Phone bill               | (    4,762.57) | (   17,403.10) |
< | Tue Jun 17 2008 | Interest                 |      1,746.73  | (   15,656.37) |
< | Sat Jul  5 2008 | Interest                 |      2,487.60  | (   13,168.77) |
< | Tue Jul  8 2008 | Royalty check            |      1,280.70  | (   11,888.07) |
< | Fri Aug  8 2008 | Interest                 |      5,583.75  | (    6,304.32) |
< | Fri Sep 26 2008 | Department of water & po | (    5,419.59) | (   11,723.91) |
< | Thu Nov 20 2008 | Gas company              | (    1,738.90) | (   13,462.81) |
< | Fri Nov 21 2008 | Phone bill               | (    2,540.09) | (   16,002.90) |
< | Mon Dec 22 2008 | Bonus                    |      2,470.00  | (   13,532.90) |
< | Thu Dec 25 2008 | Interest                 |      5,348.76  | (    8,184.14) |
< | Wed Jan 28 2009 | Rent                     | (    2,088.11) | (   10,272.25) |
< | Mon Feb  2 2009 | Bonus                    |      3,530.18  | (    6,742.07) |
< | Mon Feb  2 2009 | Rent                     | (    2,117.02) | (    8,859.09) |
< | Wed Feb 18 2009 | Bonus                    |      3,515.25  | (    5,343.84) |
< | Fri Feb 20 2009 | Royalty check            |        240.66  | (    5,103.18) |
< | Mon Feb 23 2009 | Bonus                    |        879.67  | (    4,223.51) |
< | Fri Mar 20 2009 | Rent                     | (    5,404.55) | (    9,628.06) |
< | Tue Mar 24 2009 | Grocery                  | (    2,095.08) | (   11,723.14) |
< | Sun Mar 29 2009 | Bonus                    |      1,029.04  | (   10,694.10) |
< | Thu Jun 11 2009 | Interest                 |      2,027.32  | (    8,666.78) |
< | Sun Jun 28 2009 | Interest                 |      1,161.94  | (    7,504.84) |
< | Wed Jul 29 2009 | Paycheck                 |      3,880.07  | (    3,624.77) |
< | Fri Oct  9 2009 | Cable TV                 | (    4,223.43) | (    7,848.20) |
< | Sun Oct 18 2009 | Cable TV                 | (    4,721.14) | (   12,569.34) |
< | Mon Oct 19 2009 | Rent                     | (    5,970.49) | (   18,539.83) |
< | Tue Dec  8 2009 | Gas company              | (    4,488.62) | (   23,028.45) |
< | Wed Jan 27 2010 | Cable TV                 | (    6,270.99) | (   29,299.44) |
< | Wed Feb 17 2010 | Gas company              | (    2,533.20) | (   31,832.64) |
< | Wed Mar  3 2010 | Royalty check            |      4,307.67  | (   27,524.97) |
< | Thu Apr  1 2010 | Bonus                    |      2,176.88  | (   25,348.09) |
< | Tue Apr  6 2010 | Paycheck                 |      1,991.65  | (   23,356.44) |
< | Wed Apr  7 2010 | Paycheck                 |      3,764.08  | (   19,592.36) |
< | Sat Apr 17 2010 | Royalty check            |      5,731.49  | (   13,860.87) |
< | Sat Apr 24 2010 | Paycheck                 |      2,089.68  | (   11,771.19) |
< | Sat May 29 2010 | Royalty check            |        513.70  | (   11,257.49) |
< | Thu Jun 24 2010 | Gasoline                 | (    4,941.82) | (   16,199.31) |
< | Sun Jul 11 2010 | Cable TV                 | (    2,734.80) | (   18,934.11) |
< | Sat Jul 24 2010 | Rent                     | (    5,261.76) | (   24,195.87) |
< | Thu Aug 19 2010 | Cable TV                 | (    3,598.39) | (   27,794.26) |
< | Fri Oct  1 2010 | Grocery                  | (      764.86) | (   28,559.12) |
< | Tue Nov 16 2010 | Interest                 |      3,927.35  | (   24,631.77) |
< | Mon Jan 10 2011 | Cable TV                 | (    2,293.76) | (   26,925.53) |
< | Fri Feb 11 2011 | Gasoline                 | (    3,522.93) | (   30,448.46) |
< | Fri Mar 11 2011 | Interest                 |      6,071.82  | (   24,376.64) |
< | Wed Mar 16 2011 | Paycheck                 |      2,554.69  | (   21,821.95) |
< | Mon Mar 21 2011 | Paycheck                 |      5,423.53  | (   16,398.42) |
< | Wed Mar 30 2011 | Royalty check            |      1,816.40  | (   14,582.02) |
< | Sun Apr  3 2011 | Cable TV                 | (      898.26) | (   15,480.28) |
< | Thu May  5 2011 | Cable TV                 | (    3,551.79) | (   19,032.07) |
< | Thu Jun  9 2011 | Gas company              | (      529.71) | (   19,561.78) |
< | Mon Aug  1 2011 | Interest                 |      4,474.14  | (   15,087.64) |
< | Thu Aug 11 2011 | Paycheck                 |      3,388.63  | (   11,699.01) |
< | Sun Sep  4 2011 | Royalty check            |      3,820.55  | (    7,878.46) |
< | Tue Sep 20 2011 | Grocery                  | (    1,409.33) | (    9,287.79) |
< | Wed Nov 16 2011 | Rent                     | (    4,351.89) | (   13,639.68) |
< | Thu Nov 17 2011 | Royalty check            |      3,764.37  | (    9,875.31) |
< | Wed Dec 28 2011 | Gasoline                 | (       63.50) | (    9,938.81) |
< | Sat Jan 28 2012 | Phone bill               | (    5,568.20) | (   15,507.01) |
< | Wed Feb 22 2012 | Rent                     | (    6,359.49) | (   21,866.50) |
< | Sun Mar  4 2012 | Paycheck                 |        514.96  | (   21,351.54) |
< | Mon Mar 12 2012 | Cable TV                 | (    6,520.18) | (   27,871.72) |
< | Sun Apr  1 2012 | Cable TV                 | (      435.57) | (   28,307.29) |
< | Mon Apr  2 2012 | Grocery                  | (    3,486.58) | (   31,793.87) |
< | Tue Apr 10 2012 | Bonus                    |      1,242.47  | (   30,551.40) |
< | Mon Apr 30 2012 | Gasoline                 | (    1,704.40) | (   32,255.80) |
< | Tue May 22 2012 | Rent                     | (    1,124.87) | (   33,380.67) |
< | Tue Jun 12 2012 | Royalty check            |      2,815.41  | (   30,565.26) |
< | Thu Jun 21 2012 | Gasoline                 | (    1,107.55) | (   31,672.81) |
< | Thu Jun 28 2012 | Grocery                  | (      679.73) | (   32,352.54) |
< | Sun Jul 29 2012 | Interest                 |      1,556.83  | (   30,795.71) |
< | Sun Aug 12 2012 | Department of water & po | (    2,062.94) | (   32,858.65) |
< | Sat Sep 15 2012 | Paycheck                 |      3,388.42  | (   29,470.23) |
< | Tue Nov 13 2012 | Royalty check            |      1,189.16  | (   28,281.07) |
